"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"USA300HOU_0001",10774.8209623421,-0.249319830277215,0.153450245073094,-1.6247600657689,0.104213693152654,0.129807492445948
"USA300HOU_0002",11571.139881471,0.628991847525607,0.141310391280306,4.45113655002147,8.54170032047818e-06,1.58707631300852e-05
"USA300HOU_0003",1905.59380367041,0.524916865028963,0.205156629690044,2.55861517037993,0.0105090003411074,0.0149104431069229
"USA300HOU_0004",9441.27187570444,0.102001431723259,0.153768717841653,0.663343189401485,0.507110781593084,0.558759025467862
"USA300HOU_0005",17445.9933158723,0.188984630677736,0.156650488928531,1.20640945311034,0.227659652914636,0.268842803155797
"USA300HOU_0006",22828.9238905467,0.185243594482732,0.168469149136545,1.09956983478673,0.271519591093375,0.316595855238386
"USA300HOU_0007",2212.48612135009,-1.97748426603466,0.198119907528214,-9.98124969219993,1.84132864471717e-23,7.21209453106011e-23
"USA300HOU_0008",570.111900327289,0.465363200576964,0.181442246338563,2.56480070087215,0.010323508333952,0.0146938848063625
"USA300HOU_0009",2346.09420715586,0.30723644057351,0.177370388916358,1.73217436377383,0.0832425220453255,0.105448388407747
"USA300HOU_0010",495.180843089876,-1.12731140189943,0.204264643594955,-5.51887679658761,3.41173275216429e-08,7.29958450881721e-08
"USA300HOU_0011",289.880509266598,-0.637419162959231,0.228210105006655,-2.79312418238729,0.00522016475996934,0.0077208941846735
"USA300HOU_0012",956.380746571611,-0.0665396694850123,0.14618676301161,-0.455168909374699,0.648987725982953,0.694271957261668
"USA300HOU_0013",4149.33013363924,0.00379456621349218,0.13980563843058,0.0271417251556443,0.978346695145782,0.981639559863924
"USA300HOU_0014",16471.9259120271,-0.239959893096347,0.142792982403809,-1.6804739914862,0.0928651305047303,0.116755925559602
"USA300HOU_0015",4707.78085617646,0.0181290572184478,0.141746131469706,0.127898074046009,0.898229635218246,0.913898411562591
"USA300HOU_0016",12092.911796703,-0.0664430821160481,0.150987999807461,-0.440055383214402,0.659896995422276,0.704818327515114
"USA300HOU_0017",6447.60034155949,-4.0020908064221,0.189050810197948,-21.1693925153331,1.82899678947308e-99,3.63496176752317e-98
"USA300HOU_0018",3699.36902677373,1.20710281191805,0.142574252406724,8.46648529830284,2.52908738083883e-17,8.04927810532691e-17
"USA300HOU_0019",9044.67763657466,1.26487158769576,0.145275364422205,8.70671770624334,3.12800849795985e-18,1.02346912195442e-17
"USA300HOU_0020",8232.13420362492,1.15599421467419,0.144689680566837,7.98947243608154,1.35517421376749e-15,3.99114425415827e-15
"USA300HOU_0021",5633.78094325096,0.988520939416239,0.150571122361314,6.56514292989171,5.19829759730143e-11,1.28425713200366e-10
"USA300HOU_0022",1269.76840927216,0.147326162640953,0.164882095890494,0.893524320183312,0.371576454124674,0.421895736951545
"USA300HOU_0023",678.054122782602,-2.14658828961858,0.218604832766411,-9.81949146527928,9.28105449144671e-23,3.56238472110895e-22
"USA300HOU_0024",546.471175248975,-0.475555360397163,0.199448056297405,-2.38435695601888,0.0171089979701795,0.0237227088134324
"USA300HOU_0025",1633.57519490509,0.171527379741684,0.153429643625574,1.11795462525009,0.263586373098621,0.308014912466725
"USA300HOU_0026",1073.46693306921,-0.63871036303844,0.162986140063188,-3.91880170173255,8.89902889567483e-05,0.000152758122374252
"USA300HOU_0028",12.8835523698696,-0.626613777566968,0.68313381210442,-0.917263596771269,0.359004528276409,0.409006008223187
"USA300HOU_0029",794.099086826831,1.22134928091696,0.174332059358843,7.00587881201446,2.45440297418865e-12,6.36862976764812e-12
"USA300HOU_0030",234.426991005409,-0.381459558366829,0.209311565268088,-1.8224485487854,0.0683869538355231,0.0878746154888451
"USA300HOU_0031",5034.49223140565,-0.0923030737634527,0.139934879292841,-0.659614488038327,0.509501254481218,0.560472269689672
"USA300HOU_0032",3658.25013902462,0.64405066017852,0.155382168789537,4.1449457501837,3.39894169238052e-05,6.03531473240035e-05
"USA300HOU_0033",941.858377055651,0.503910968167322,0.161580351545793,3.11864012763031,0.00181687724252201,0.00280454458633498
"USA300HOU_0034",57.0954088444133,0.0472111866646094,0.414215438621201,0.113977370862277,0.909255731963442,0.924065579112846
"USA300HOU_0035",28.1315714228669,0.361278109817545,0.463014120500979,0.78027449665389,0.435229320977286,0.486752925461467
"USA300HOU_0036",8.78711126067242,1.48862285477906,0.908316652247065,1.63888094652497,0.101238056589336,0.126571158354701
"USA300HOU_0037",1.05945132166567,0.720204719327544,2.39639087195829,0.300537248641331,0.763767388493367,0.797970367339449
"USA300HOU_0038",15.5117844586965,0.103177308258417,0.6623382415185,0.15577736840601,0.876208510221634,0.894338139141657
"USA300HOU_0039",1342.24394084371,1.24212346740658,0.154831436059046,8.02242425067278,1.03678335587923e-15,3.07709042458403e-15
"USA300HOU_0040",762.66898160928,0.650469842638522,0.195701588074785,3.32378418099476,0.000888048918228863,0.00140485568844814
"USA300HOU_0041",432.866373562402,-0.32991329973505,0.18195115930895,-1.81319701939828,0.0698014393989133,0.0895206796879945
"USA300HOU_0042",45.9157596454427,-0.436943611701275,0.375656809579028,-1.16314572386143,0.244770383391929,0.287404349514462
"USA300HOU_0043",540.760298300841,1.3498958004052,0.188755031419356,7.1515751938084,8.57877056143115e-13,2.26543714727557e-12
"USA300HOU_0044",3681.39625989743,1.51511790684225,0.150511506673828,10.0664589726396,7.7726233633025e-24,3.08034689567808e-23
"USA300HOU_0045",331.052882074888,-0.435615773032565,0.183967123262711,-2.36790011881902,0.0178893646920835,0.0246898999325412
"USA300HOU_0046",12.6624927390174,-2.63189914084603,0.850295143685876,-3.09527716392361,0.00196629060634877,0.00302324223314256
"USA300HOU_0048",4214.94627095653,0.101392612479779,0.195267592059908,0.519249566249946,0.603586718196531,0.651941692802453
"USA300HOU_0049",15.665189501819,-0.883920301295323,0.748993844772146,-1.1801436119468,0.237943101510568,0.280123449474705
"USA300HOU_0050",394.684014838317,-0.377633257352344,0.24683635250064,-1.52989320060288,0.126043166670466,0.155125603750854
"USA300HOU_0051",100.113152536862,-0.0855547395392421,0.280193649794779,-0.305341465097102,0.760106098261861,0.794683316446183
"USA300HOU_0052",181.909170092066,0.310113632172421,0.224599970633655,1.38073763454871,0.167359645255642,0.201718745831486
"USA300HOU_0053",290.259050477183,0.568584262621386,0.214414286242502,2.65180213774711,0.00800634445955661,0.011555149104352
"USA300HOU_0054",128.338208302367,0.383986753075314,0.267887334879749,1.43338897767482,0.151746706578808,0.183808764673111
"USA300HOU_0055",78.0989063286677,-0.421986944062254,0.338393933951292,-1.24702868971343,0.212386978131467,0.252250669467342
"USA300HOU_0056",21.1448055873246,-0.637715543524108,0.535924822499422,-1.18993470119551,0.234072058150652,0.275808226621959
"USA300HOU_0057",1159.23277740212,0.101479360389805,0.151590474829815,0.669430981753519,0.503220593819929,0.555384966359057
"USA300HOU_0058",1.40807101380223,0.474300354402826,1.99967820638686,0.237188340047883,0.812510681549952,0.841360925742385
"USA300HOU_0059",15593.8054653369,6.03241551447017,0.202621848578562,29.771791920708,9.05953944745894e-195,5.78732008036484e-193
"USA300HOU_0060",62.523939127123,3.86626788838948,0.405303787244167,9.53918519902783,1.43958896675745e-21,5.30551812886021e-21
"USA300HOU_0061",181.69031153213,3.11034904754168,0.24988947861071,12.4468987843507,1.45385259120503e-35,8.57293736747934e-35
"USA300HOU_0062",35.8580762419708,1.57623956041996,0.430016938608595,3.66552900339274,0.00024682783464335,0.000407030780791707
"USA300HOU_0063",0.397032131569753,2.42966980377656,4.04214028667651,0.601084977625618,0.547783388472487,0.599633958087182
"USA300HOU_0064",43.7025620305301,1.40250300698884,0.398922559353321,3.51572748671418,0.000438550873891107,0.000709669478075898
"USA300HOU_0065",148.516200664452,0.00738996730927174,0.234351536408765,0.0315336840650444,0.974843929495525,0.979223610197115
"USA300HOU_0066",1287.82235296137,2.57436544740753,0.166796275597481,15.4341902310821,9.640275614201e-54,8.62161982430043e-53
"USA300HOU_0067",985.755869577437,2.69017068773823,0.184944395285726,14.5458351607904,6.20686792813145e-48,4.78535248597031e-47
"USA300HOU_0068",260.390665055666,2.57309850971381,0.209719497980723,12.2692383611863,1.32493778804851e-34,7.51545049753522e-34
"USA300HOU_0069",789.163031673348,1.32738154361527,0.17059682741402,7.78081025149351,7.2061510667193e-15,2.06560932820597e-14
"USA300HOU_0070",2140.64529570282,-0.373118362480803,0.157770188232614,-2.36494845230635,0.0180325806343388,0.024861980391537
"USA300HOU_0071",113.423588891615,1.43572365081659,0.303301318588542,4.73365449744152,2.20512968463887e-06,4.24416280049217e-06
"USA300HOU_0072",3198.31411875357,2.42275708660316,0.23677312689533,10.2323989144012,1.41958577378594e-24,5.75339672366719e-24
"USA300HOU_0075",3304.18244857448,3.44965460764296,0.170559055876693,20.2255728369939,5.83092848485448e-91,1.02250857025259e-89
"USA300HOU_0076",605.400956911999,0.603476736719974,0.161596784409903,3.7344600570096,0.000188118343160893,0.000314579972746073
"USA300HOU_0077",520.153224679907,1.51026645101709,0.177194946963464,8.52319141656163,1.55215949242265e-17,4.98139224661479e-17
"USA300HOU_0078",2499.29826546242,2.59706472818282,0.147070620788624,17.6586235527994,8.734375289731e-70,1.05086676692145e-68
"USA300HOU_0079",1791.10529949308,2.75944732936466,0.14349765210428,19.2299127469999,2.07977751515792e-82,3.18859604181068e-81
"USA300HOU_0080",1363.57685761576,2.48240803291321,0.147884487085748,16.7861286997184,3.08311447496135e-63,3.28253814933385e-62
"USA300HOU_0081",897.945642479513,1.93048013973708,0.171082295619531,11.283927029073,1.57552282513128e-29,7.61644637806709e-29
"USA300HOU_0082",524.193293983888,1.13598086100923,0.170938314225802,6.64556021951084,3.02065927357135e-11,7.53199705482521e-11
"USA300HOU_0084",146071.151007991,6.00123693691328,0.151850985752397,39.5205662128443,0,0
"USA300HOU_0085",48487.430282592,6.10134162722068,0.155135859387324,39.3290220024991,0,0
"USA300HOU_0086",249.919249495992,3.6494274140704,0.236812999559525,15.4105873446913,1.38943240244962e-53,1.23438646879878e-52
"USA300HOU_0089",75.2282297102212,0.365879784222447,0.325579515025994,1.12378011311073,0.261106320103314,0.30551603002058
"USA300HOU_0090",407.828843974247,0.651237625332319,0.217649722573502,2.99213625283805,0.00277032588333745,0.00419533576678794
"USA300HOU_0091",104.682694458137,0.993713090757737,0.318618090161131,3.11882194214144,0.00181575654192458,0.00280454458633498
"USA300HOU_0092",2292.48507536009,4.81067768180998,0.197764163763762,24.3253256315767,1.05795339011313e-130,3.33939875961591e-129
"USA300HOU_0093",4025.55981351769,5.02709634261496,0.184827629021979,27.198835851631,6.70411535042945e-163,3.15563885705302e-161
"USA300HOU_0095",120.515524367402,-1.34211479137304,0.258163749346096,-5.19869576876107,2.00691684628687e-07,4.11034954090661e-07
